trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
470,False,"{'a': 0.25, 'e': 0.009095277101695816}",25,7,29.974101441856753,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.25, 'e': 0.00900477758243656}",25,5,33.47610932278968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.25, 'e': 0.008915178548439553}",20,12,15.768938879946056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.25, 'e': 0.008826471039726723}",25,0,36.12218769054385,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
474,False,"{'a': 0.25, 'e': 0.00873864618547329}",25,16,12.368022532591969,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.25, 'e': 0.008651695203120634}",25,15,17.778945710653105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.25, 'e': 0.00856560939749806}",20,0,33.19802423506108,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
477,False,"{'a': 0.25, 'e': 0.008480380159953262}",25,3,31.66974348539417,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.25, 'e': 0.00839599896749147}",20,0,20.99477874524382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
479,False,"{'a': 0.25, 'e': 0.008312457381923119}",25,19,7.419404408434119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.25, 'e': 0.00822974704902003}",30,0,38.15778543330043,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
481,False,"{'a': 0.25, 'e': 0.008147859697679982}",20,10,13.988432198208885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.25, 'e': 0.008066787139099614}",30,14,28.90118528495554,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.25, 'e': 0.007986521265955502}",25,11,24.293277755137254,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.25, 'e': 0.007907054051593441}",20,0,34.973586443970284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
485,False,"{'a': 0.25, 'e': 0.007828377549225768}",25,12,28.95418975318368,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.25, 'e': 0.007750483891136693}",25,0,37.663980037400165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
487,False,"{'a': 0.25, 'e': 0.007673365287895489}",20,0,27.05464089006767,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
488,False,"{'a': 0.25, 'e': 0.007597014027577567}",25,2,43.49687024966409,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.25, 'e': 0.007521422474993269}",20,2,30.14991571844712,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.25, 'e': 0.007446583070924338}",25,0,35.7859832262548,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
491,False,"{'a': 0.25, 'e': 0.007372488331368011}",25,0,25.28649180361311,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
492,False,"{'a': 0.25, 'e': 0.007299130846788583}",25,3,38.58808642654132,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.25, 'e': 0.0072265032813764625}",20,0,31.237001522403876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
494,False,"{'a': 0.25, 'e': 0.007154598372314579}",20,2,34.41682855038421,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.25, 'e': 0.007083408929052119}",20,2,33.13848810542173,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
